Telescope :,Gemini,,Instrument :,Flamingos II,Flamingos 2,,,,,,,,,,,,,,
Obj. Name,Date,FITS #,Program ID,Exposure (s),Filter,Local Time,Airmass,Seeing,Type,Flat #,Telluric # (Or BMAG;VMAG),Lamps #,Darks Program ID,Darks Date,Darks #,abba patterns,Reduce ? (0/1),Binary ?,Comments
J0311+0106,131019,157-160,GS-2013B-Q-79,,JH,,,,Science,162,131-134,161,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,0,
J0311+0106,131019,163-166,GS-2013B-Q-79,,HK,,,,Science,168,135-138,167,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,0,
Argon,131019,161,GS-2013B-Q-79,,JH,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
FLAT,131019,162,GS-2013B-Q-79,,JH,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
Argon,131019,167,GS-2013B-Q-79,,HK,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
FLAT,131019,168,GS-2013B-Q-79,,HK,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
HIP 12786,131019,199-202,GS-2013B-Q-79,,JH,,,,Telluric,183,A1,182,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,x,
HIP 12786,131019,205-208,GS-2013B-Q-79,,HK,,,,Telluric,193,A1,192,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,x,
J0244-3548,131019,174-181,GS-2013B-Q-79,,JH,,,,Science,183,199-202,182,GS-2013B-Q-79,130927,37-42;134-217;238-255,abbaabba,done,0,
J0244-3548,131019,184-191,GS-2013B-Q-79,,HK,,,,Science,193,205-208,192,GS-2013B-Q-79,130927,37-42;134-217;238-255,abbaabba,done,0,
Argon,131019,182,GS-2013B-Q-79,,JH,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
FLAT,131019,183,GS-2013B-Q-79,,JH,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
Argon,131019,192,GS-2013B-Q-79,,HK,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
FLAT,131019,193,GS-2013B-Q-79,,HK,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
HIP 19445,131019,228-231,GS-2013B-Q-79,,JH,,,,Telluric,217,A2,216,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,x,
HIP 19445,131019,232-235,GS-2013B-Q-79,,HK,,,,Telluric,224,A2,223,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,x,
J0322-7940,131019,212-215,GS-2013B-Q-79,,JH,,,,Science,217,228-231,216,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,0,
J0322-7940,131019,219-222,GS-2013B-Q-79,,HK,,,,Science,224,232-235,223,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,0,
Argon,131019,216,GS-2013B-Q-79,,JH,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
FLAT,131019,217,GS-2013B-Q-79,,JH,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
Argon,131019,223,GS-2013B-Q-79,,HK,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
FLAT,131019,224,GS-2013B-Q-79,,HK,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
HIP 27089,131019,259-262,GS-2013B-Q-79,,JH,,,,Telluric,217,A0,216,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,x,
J0540-0906,131019,241-252,GS-2013B-Q-79,,JH,,,,Science,217,259-262,216,GS-2013B-Q-79,130927,37-42;134-217;238-255,abbaabbaabba,done,0,
##########################################################################################################################################################################################################################################################################################,,,,,,,,,,,,,,,,,,,
HIP 97971,131020,19-22,GS-2013B-Q-79,,JH,,,,Telluric,31,A4,30,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,x,
HIP 97971,131020,15-18,GS-2013B-Q-79,,HK,,,,Telluric,37,A4,36,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,x,
J2005-6258,131020,26-29,GS-2013B-Q-79,,JH,,,,Science,31,19-22,30,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,0,
J2005-6258,131020,32-35,GS-2013B-Q-79,,HK,,,,Science,37,15-18,36,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,0,
